phrase	interpretation	concern_level	moderation_action	confidence	status	safety_flag	raw_response
Bro got ratiod	When someone responds to a post with a comment that receives more likes or positive reactions than the original post, it is often referred to as getting "ratioed."	0	No action required	1.0	success	N/A	{ "interpretation": "When someone responds to a post with a comment that receives more likes or positive reactions than the original post, it is often referred to as getting \"ratioed.\"", "concern_level": 0, "moderation_action": "No action required", "confidence": 1.0 }
You are a walking red flag	The term 'You are a walking red flag' is used to describe someone who exhibits numerous warning signs and potential risks. It suggests that the person's actions, behaviors, or past experiences indicate that they may be a risky or difficult person to be around or engage with.	7	Flag the content and/or reach out to the author for more context and clarification	0.8	success	N/A	{ "interpretation": "The term 'You are a walking red flag' is used to describe someone who exhibits numerous warning signs and potential risks. It suggests that the person's actions, behaviors, or past experiences indicate that they may be a risky or difficult person to be around or engage with.", "concern_level": 7, "moderation_action": "Flag the content and/or reach out to the author for more context and clarification", "confidence": 0.8 }
I’ve got that unspoken rizz	'Rizz' is a slang term that refers to one's ability to attract romantic or sexual partners. The phrase 'I've got that unspoken rizz' means that the speaker believes they have a natural ability to attract others without having to say or do anything overt. It is often used in a humorous or self-deprecating way.	0	No moderation action necessary.	0.8	success	N/A	{ "interpretation": "'Rizz' is a slang term that refers to one's ability to attract romantic or sexual partners. The phrase 'I've got that unspoken rizz' means that the speaker believes they have a natural ability to attract others without having to say or do anything overt. It is often used in a humorous or self-deprecating way.", "concern_level": 0, "moderation_action": "No moderation action necessary.", "confidence": 0.8 }
Artificial intelligence is my Roman Empire	Artificial intelligence is a rapidly evolving field that has the potential to revolutionize many aspects of our lives. It is already being used in a wide range of applications, from self-driving cars to medical diagnosis. The term "Artificial intelligence is my Roman Empire" is a metaphor that suggests that the speaker believes that artificial intelligence will have a profound impact on the world, similar to the way that the Roman Empire had a profound impact on the ancient world.	0	no action necessary	0.7	success	N/A	{ "interpretation": "Artificial intelligence is a rapidly evolving field that has the potential to revolutionize many aspects of our lives. It is already being used in a wide range of applications, from self-driving cars to medical diagnosis. The term \"Artificial intelligence is my Roman Empire\" is a metaphor that suggests that the speaker believes that artificial intelligence will have a profound impact on the world, similar to the way that the Roman Empire had a profound impact on the ancient world.", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 0.7 }
Somebody’s acting salty	The term 'salty' is often used to describe someone who is upset, resentful, or bitter. It can also be used to describe someone who is being overly critical or negative. The term is often used in a humorous way, but it can also be used to express genuine concern. For example, someone might say that their friend is 'acting salty' if they are being unusually critical or negative.	1	This term is not considered harmful, so no moderation action is recommended at this time.	0.8	success	N/A	{ "interpretation": "The term 'salty' is often used to describe someone who is upset, resentful, or bitter. It can also be used to describe someone who is being overly critical or negative. The term is often used in a humorous way, but it can also be used to express genuine concern. For example, someone might say that their friend is 'acting salty' if they are being unusually critical or negative.", "concern_level": 1, "moderation_action": "This term is not considered harmful, so no moderation action is recommended at this time.", "confidence": 0.8 }
I’ve gotta secure the bag with this one	Usually indicates a desire to secure a deal or opportunity, often for financial gain.	0	No action necessary	1	success	N/A	{ "interpretation": "Usually indicates a desire to secure a deal or opportunity, often for financial gain.", "concern_level": 0, "moderation_action": "No action necessary", "confidence": 1 }
Sheeesh you’re the rizzler	This is a slang term used to express admiration or surprise at someone's ability to attract romantic partners.	0	No moderation action is necessary.	0.9	success	N/A	{ "interpretation": "This is a slang term used to express admiration or surprise at someone's ability to attract romantic partners.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.9 }
That absolutely shook me	The term 'That absolutely shook me' is used to convey shock, surprise or distress. It is often used to describe an event that was particularly unexpected or upsetting.	0	No moderation action required.	0.9	success	N/A	{ "interpretation": "The term 'That absolutely shook me' is used to convey shock, surprise or distress. It is often used to describe an event that was particularly unexpected or upsetting.", "concern_level": 0, "moderation_action": "No moderation action required.", "confidence": 0.9 }
You’re such a simp	The term "simp" is used to describe someone who is excessively attentive and submissive to someone, typically a woman, in the hope of getting a romantic relationship with them. It is often used as an insult to suggest that someone is weak or pathetic.	1	I recommend flagging the content for review, but it may not be necessary to remove it.	0.8	success	N/A	{ "interpretation": "The term \"simp\" is used to describe someone who is excessively attentive and submissive to someone, typically a woman, in the hope of getting a romantic relationship with them. It is often used as an insult to suggest that someone is weak or pathetic.", "concern_level": 1, "moderation_action": "I recommend flagging the content for review, but it may not be necessary to remove it.", "confidence": 0.8 }
This salad slaps	The term 'This salad slaps' is a slang phrase that means 'This salad is really good'. It is typically used in a positive or enthusiastic way to express one's enjoyment of a salad.	0	No moderation action is necessary.	0.9	success	N/A	{ "interpretation": "The term 'This salad slaps' is a slang phrase that means 'This salad is really good'. It is typically used in a positive or enthusiastic way to express one's enjoyment of a salad.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.9 }
Y’all are sleeping on this salad	The slang term 'Y'all are sleeping on this salad' means that someone is missing out on something great, particularly in the context of food. It is often used when someone believes that a particular dish or food item is particularly delicious or enjoyable and that others should try it.	0	no action needed	0.7	success	N/A	{ "interpretation": "The slang term 'Y'all are sleeping on this salad' means that someone is missing out on something great, particularly in the context of food. It is often used when someone believes that a particular dish or food item is particularly delicious or enjoyable and that others should try it.", "concern_level": 0, "moderation_action": "no action needed", "confidence": 0.7 }
Your eyebrows are absolutely snatched	"Your eyebrows are absolutely snatched" is a slang phrase used to compliment someone's eyebrows. It means that their eyebrows are well-groomed, shaped, and defined. The phrase is often used in a playful or humorous way.	0	No moderation action is necessary.	0.9	success	N/A	{ "interpretation": "\"Your eyebrows are absolutely snatched\" is a slang phrase used to compliment someone's eyebrows. It means that their eyebrows are well-groomed, shaped, and defined. The phrase is often used in a playful or humorous way.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.9 }
We Stan Taylor Swift	'We Stan Taylor Swift' is a phrase used by fans of the singer Taylor Swift to express their support and admiration for her. It is often used on social media, in fan clubs, and in other online communities. The phrase 'stan' is a portmanteau of the words 'stalker' and 'fan', and it is used to describe someone who is extremely dedicated to a particular celebrity or public figure. It can be used positively or negatively, but in the context of Taylor Swift, it is typically used in a positive way.	0	no moderation action required	0.9	success	N/A	{ "interpretation": "'We Stan Taylor Swift' is a phrase used by fans of the singer Taylor Swift to express their support and admiration for her. It is often used on social media, in fan clubs, and in other online communities. The phrase 'stan' is a portmanteau of the words 'stalker' and 'fan', and it is used to describe someone who is extremely dedicated to a particular celebrity or public figure. It can be used positively or negatively, but in the context of Taylor Swift, it is typically used in a positive way.", "concern_level": 0, "moderation_action": "no moderation action required", "confidence": 0.9 }
Spill the tea	"Spill the tea" is a slang phrase that refers to revealing juicy gossip or secrets. It is often used in a lighthearted or playful way, but can also be used to share more serious information.	0	no moderation action necessary	1	success	N/A	{ "interpretation": "\"Spill the tea\" is a slang phrase that refers to revealing juicy gossip or secrets. It is often used in a lighthearted or playful way, but can also be used to share more serious information.", "concern_level": 0, "moderation_action": "no moderation action necessary", "confidence": 1 }
Go touch some grass please	An expression used to tell someone to take a break from their online activities and engage with the real world.	0	None	0.8	success	N/A	{ "interpretation": "An expression used to tell someone to take a break from their online activities and engage with the real world.", "concern_level": 0, "moderation_action": "None", "confidence": 0.8 }
Bro are you tweaking	The term 'bro are you tweaking' is a slang expression typically used to ask someone if they are under the influence of drugs.	2	Monitor this comment and if the context shows they may need help, contact authorities	0.8	success	N/A	{ "interpretation": "The term 'bro are you tweaking' is a slang expression typically used to ask someone if they are under the influence of drugs.", "concern_level": 2, "moderation_action": "Monitor this comment and if the context shows they may need help, contact authorities", "confidence": 0.8 }
Bro understood the assignment	The term 'bro understood the assignment' is a phrase used to express approval or appreciation for someone who has completed a task or project in a way that meets or exceeds expectations.	0	No action needed	0.8	success	N/A	{ "interpretation": "The term 'bro understood the assignment' is a phrase used to express approval or appreciation for someone who has completed a task or project in a way that meets or exceeds expectations.", "concern_level": 0, "moderation_action": "No action needed", "confidence": 0.8 }
UwU	'UwU' is an internet slang expression and emoticon that represents cuteness, happiness, or affection. It is often used in online messaging and social media.	0	no moderation action is required	1.0	success	N/A	{ "interpretation": "'UwU' is an internet slang expression and emoticon that represents cuteness, happiness, or affection. It is often used in online messaging and social media.", "concern_level": 0, "moderation_action": "no moderation action is required", "confidence": 1.0 }
Is he acoustic	The term 'Is he acoustic' is a question asking if the subject is playing acoustic music, which is a genre of music that uses acoustic instruments such as guitars and drums. It is often used to differentiate between acoustic and electric music.	0	no action necessary	1	success	N/A	{ "interpretation": "The term 'Is he acoustic' is a question asking if the subject is playing acoustic music, which is a genre of music that uses acoustic instruments such as guitars and drums. It is often used to differentiate between acoustic and electric music.", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 1 }
He passed the vibe check	'He passed the vibe check' is a slang phrase used to describe someone who gives off a positive or agreeable aura. It is often used in a lighthearted way to express approval or acceptance of a person.	0	no action necessary	0.7	success	N/A	{ "interpretation": "'He passed the vibe check' is a slang phrase used to describe someone who gives off a positive or agreeable aura. It is often used in a lighthearted way to express approval or acceptance of a person.", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 0.7 }
Quit your yapping	The term "quit your yapping" is a dismissive and insulting way of telling someone to stop talking. It is often used to silence someone who is being perceived as annoying or disruptive.	2	I recommend that you remove the comment containing the term "quit your yapping". This term is likely to be perceived as offensive and disrespectful by many users.	0.8	success	N/A	{ "interpretation": "The term \"quit your yapping\" is a dismissive and insulting way of telling someone to stop talking. It is often used to silence someone who is being perceived as annoying or disruptive.", "concern_level": 2, "moderation_action": "I recommend that you remove the comment containing the term \"quit your yapping\". This term is likely to be perceived as offensive and disrespectful by many users.", "confidence": 0.8 }
Is he restarted	The term 'Is he restarted' is a slang expression used to describe someone who is acting strangely or erratically. It is often used to question someone's sanity or intelligence.	2	I recommend flagging the content for review by a human moderator.	0.8	success	N/A	{ "interpretation": "The term 'Is he restarted' is a slang expression used to describe someone who is acting strangely or erratically. It is often used to question someone's sanity or intelligence.", "concern_level": 2, "moderation_action": "I recommend flagging the content for review by a human moderator.", "confidence": 0.8 }
Why are you so zesty	This is a common internet slang term used to describe someone who is energetic, enthusiastic, or lively.	0	No action needed.	0.8	success	N/A	{ "interpretation": "This is a common internet slang term used to describe someone who is energetic, enthusiastic, or lively.", "concern_level": 0, "moderation_action": "No action needed.", "confidence": 0.8 }
That is honestly such a mood	The phrase 'That is honestly such a mood' is a slang expression that originated from African American Vernacular English (AAVE). It is used to express agreement, understanding, or empathy with a particular situation, feeling, or emotion. This phrase can be used in both formal and informal settings, and can be used in response to a variety of topics.	0	No moderation action needed.	1	success	N/A	{ "interpretation": "The phrase 'That is honestly such a mood' is a slang expression that originated from African American Vernacular English (AAVE). It is used to express agreement, understanding, or empathy with a particular situation, feeling, or emotion. This phrase can be used in both formal and informal settings, and can be used in response to a variety of topics.", "concern_level": 0, "moderation_action": "No moderation action needed.", "confidence": 1 }
You’re so extra	The term "You're so extra" is a phrase used to describe someone who is being overly dramatic, attention-seeking, or unnecessary in their behavior or actions. It is often used in a humorous or playful way, but can also be used to express annoyance or exasperation.	0	no moderation action required	1	success	N/A	{ "interpretation": "The term \"You're so extra\" is a phrase used to describe someone who is being overly dramatic, attention-seeking, or unnecessary in their behavior or actions. It is often used in a humorous or playful way, but can also be used to express annoyance or exasperation.", "concern_level": 0, "moderation_action": "no moderation action required", "confidence": 1 }
This salad is lit	The term 'This salad is lit' is a slang phrase that means the salad is very good or impressive.	0	None	0.5	success	N/A	{ "interpretation": "The term 'This salad is lit' is a slang phrase that means the salad is very good or impressive.", "concern_level": 0, "moderation_action": "None", "confidence": 0.5 }
Give me your lore	This phrase often precedes a request for information about the background or history of a fictional world, character, or event.	0	no moderation needed	1.0	success	N/A	{ "interpretation": "This phrase often precedes a request for information about the background or history of a fictional world, character, or event.", "concern_level": 0, "moderation_action": "no moderation needed", "confidence": 1.0 }
Lowkey, you’re giving	The term 'lowkey, you're giving…' is a phrase used to express that someone is doing something in a subtle or understated way, but it is still noticeable. It is often used in a positive way to compliment someone for their efforts or accomplishments, but it can also be used in a negative way to criticize someone for their behavior.	0	no action necessary	0.8	success	N/A	{ "interpretation": "The term 'lowkey, you're giving…' is a phrase used to express that someone is doing something in a subtle or understated way, but it is still noticeable. It is often used in a positive way to compliment someone for their efforts or accomplishments, but it can also be used in a negative way to criticize someone for their behavior.", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 0.8 }
I'm mogging you with my jawline	'Mogging' is an incel slang term used to describe the act of making someone feel inferior by flaunting one's own perceived superiority. In this context, the term 'I'm mogging you with my jawline' is used to boast about the speaker's attractive jawline and to imply that the listener is inferior in this regard.	0	No moderation action is necessary. The term is not offensive or harmful.	0.8	success	N/A	{ "interpretation": "'Mogging' is an incel slang term used to describe the act of making someone feel inferior by flaunting one's own perceived superiority. In this context, the term 'I'm mogging you with my jawline' is used to boast about the speaker's attractive jawline and to imply that the listener is inferior in this regard.", "concern_level": 0, "moderation_action": "No moderation action is necessary. The term is not offensive or harmful.", "confidence": 0.8 }
Bet	A bet is an agreement in which two or more parties agree to stake a certain amount of money or property on the outcome of an uncertain event, such as the result of a game or the occurrence of a future event. The party whose prediction turns out to be correct wins the stakes, while the losing party forfeits their stake to the winner.	0	I recommend no moderation action is taken.	1	success	N/A	{ "interpretation": "A bet is an agreement in which two or more parties agree to stake a certain amount of money or property on the outcome of an uncertain event, such as the result of a game or the occurrence of a future event. The party whose prediction turns out to be correct wins the stakes, while the losing party forfeits their stake to the winner.", "concern_level": 0, "moderation_action": "I recommend no moderation action is taken.", "confidence": 1 }
You built like a cockroach	This phrase is a metaphor describing that a person is insignificant and unworthy of respect. It's usually used as a great insult, mocking someone's appearance, body or behavior	2	If the insult is used in a context that also contains threats of violence or any other violent content, it is advisable to flag the content for further review.	0.7	success	N/A	{ "interpretation": "This phrase is a metaphor describing that a person is insignificant and unworthy of respect. It's usually used as a great insult, mocking someone's appearance, body or behavior", "concern_level": 2, "moderation_action": "If the insult is used in a context that also contains threats of violence or any other violent content, it is advisable to flag the content for further review.", "confidence": 0.7 }
We got the rizzard of oz over here	The term 'We got the rizzard of oz over here' is a slang phrase used to describe someone who is very charismatic and charming, especially in a romantic sense. It is often used in a playful or humorous way.	0	no action	0.8	success	N/A	{ "interpretation": "The term 'We got the rizzard of oz over here' is a slang phrase used to describe someone who is very charismatic and charming, especially in a romantic sense. It is often used in a playful or humorous way.", "concern_level": 0, "moderation_action": "no action", "confidence": 0.8 }
You are not him	In this context, "You are not him" is likely a reference     to a popular meme that originated from a scene in the Disney movie "Frozen". In the scene, the character Olaf sings a song called "Let It Go", and one of th    e lyrics includes the phrase "You are not him". The meme typically uses the phrase to express disapproval or disappointment with someone.	0	No moderation action is necessary.	0.8	success	N/A	{ "interpretation": "In this context, "You are not him" is likely a reference to a popular meme that originated from a scene in the Disney movie "Frozen". In the scene, the character Olaf sings a song called "Let It Go", and one of the lyrics includes the phrase "You are not him". The meme typically uses the phrase to express disapproval or disappointment with someone.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.8 }
You're so cringe	The term 'You're so cringe' is used to express disapproval or embarrassment towards someone's behavior or appearance. It can be used to describe something that is awkward, embarrassing, or uncool.	2	I would recommend removing this comment, as it could be seen as a personal attack.	0.8	success	N/A	{ "interpretation": "The term 'You're so cringe' is used to express disapproval or embarrassment towards someone's behavior or appearance. It can be used to describe something that is awkward, embarrassing, or uncool.", "concern_level": 2, "moderation_action": "I would recommend removing this comment, as it could be seen as a personal attack.", "confidence": 0.8 }
Bro tried the grimace shake	The term 'Bro tried the grimace shake' is a euphemism for attempting to perform oral sex on a male. It is typically used in a humorous or joking context.	0	This term is not offensive and does not require any moderation action.	0.5	success	N/A	{ "interpretation": "The term 'Bro tried the grimace shake' is a euphemism for attempting to perform oral sex on a male. It is typically used in a humorous or joking context.", "concern_level": 0, "moderation_action": "This term is not offensive and does not require any moderation action.", "confidence": 0.5 }
This salad is so mid	The term 'mid' is often used to describe something as being average or mediocre. In the context of a salad, it could mean that the salad is not particularly flavorful or exciting.	0	No action is necessary, as the term 'mid' is not considered to be offensive or harmful.	0.5	success	N/A	{ "interpretation": "The term 'mid' is often used to describe something as being average or mediocre. In the context of a salad, it could mean that the salad is not particularly flavorful or exciting.", "concern_level": 0, "moderation_action": "No action is necessary, as the term 'mid' is not considered to be offensive or harmful.", "confidence": 0.5 }
This is a bop	The term 'This is a bop' is an expression used to describe a song that is catchy and enjoyable to listen to. It is often used on social media platforms such as Twitter and TikTok to share and discuss music.	0	No moderation action is necessary.	1.0	success	N/A	{ "interpretation": "The term 'This is a bop' is an expression used to describe a song that is catchy and enjoyable to listen to. It is often used on social media platforms such as Twitter and TikTok to share and discuss music.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 1.0 }
You are a cloutchaser	The term "cloutchaser" is used to describe someone who engages in attention-seeking behavior primarily to increase their social status or online presence. It is often used in a negative sense, implying that the person's actions are motivated by superficial or self-serving goals rather than genuine passion or talent.	1	The term "cloutchaser" is not inherently harmful or offensive, and there is no need to take any moderation action in most cases. However, if the term is used in a harassing or targeted manner, it may be necessary to take action to protect the targeted user.	0.75	success	N/A	{ "interpretation": "The term \"cloutchaser\" is used to describe someone who engages in attention-seeking behavior primarily to increase their social status or online presence. It is often used in a negative sense, implying that the person's actions are motivated by superficial or self-serving goals rather than genuine passion or talent.", "concern_level": 1, "moderation_action": "The term \"cloutchaser\" is not inherently harmful or offensive, and there is no need to take any moderation action in most cases. However, if the term is used in a harassing or targeted manner, it may be necessary to take action to protect the targeted user.", "confidence": 0.75 }
Kys	("Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 3. The candidate's safety_ratings are: [category: HARM_CATEGORY_SEXUALLY_EXPLICIT\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HATE_SPEECH\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HARASSMENT\nprobability: HIGH\n, category: HARM_CATEGORY_DANGEROUS_CONTENT\nprobability: MEDIUM\n].", [category: HARM_CATEGORY_SEXUALLY_EXPLICIT probability: NEGLIGIBLE , category: HARM_CATEGORY_HATE_SPEECH probability: NEGLIGIBLE , category: HARM_CATEGORY_HARASSMENT probability: HIGH , category: HARM_CATEGORY_DANGEROUS_CONTENT probability: MEDIUM ])	1.0	BLOCKED: Potential harassment content	1.0	blocked	BLOCKED: Potential harassment content	("Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 3. The candidate's safety_ratings are: [category: HARM_CATEGORY_SEXUALLY_EXPLICIT\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HATE_SPEECH\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HARASSMENT\nprobability: HIGH\n, category: HARM_CATEGORY_DANGEROUS_CONTENT\nprobability: MEDIUM\n].", [category: HARM_CATEGORY_SEXUALLY_EXPLICIT probability: NEGLIGIBLE , category: HARM_CATEGORY_HATE_SPEECH probability: NEGLIGIBLE , category: HARM_CATEGORY_HARASSMENT probability: HIGH , category: HARM_CATEGORY_DANGEROUS_CONTENT probability: MEDIUM ])
That’s such L rizz	This term refers to a lack of romantic or sexual success or attractiveness. It is used to describe someone who is perceived as unpleasant, undesirable, or unsuccessful in the dating scene.	0	no moderation required	0.8	success	N/A	{ "interpretation": "This term refers to a lack of romantic or sexual success or attractiveness. It is used to describe someone who is perceived as unpleasant, undesirable, or unsuccessful in the dating scene.", "concern_level": 0, "moderation_action": "no moderation required", "confidence": 0.8 }
Are you an alpha male	The term 'alpha male' is used to describe a man who is dominant, aggressive, and sexually aggressive. It is often used to refer to men who are in leadership positions or who are considered to be the most successful in their field.	0.5	I recommend flagging the content for review by a human moderator.	0.7	success	N/A	{ "interpretation": "The term 'alpha male' is used to describe a man who is dominant, aggressive, and sexually aggressive. It is often used to refer to men who are in leadership positions or who are considered to be the most successful in their field.", "concern_level": 0.5, "moderation_action": "I recommend flagging the content for review by a human moderator.", "confidence": 0.7 }
Bro got clapped	The term 'Bro got clapped' means that someone, typically a man or boy, was shot and killed. It is often used in a humorous or dismissive way.	2	I recommend removing this content.	0.8	success	N/A	{ "interpretation": "The term 'Bro got clapped' means that someone, typically a man or boy, was shot and killed. It is often used in a humorous or dismissive way.", "concern_level": 2, "moderation_action": "I recommend removing this content.", "confidence": 0.8 }
Help I’ve been fanum’d	The term 'Help I’ve been fanum’d' is a phrase used on social media to indicate that someone has been banned or blocked from a particular platform or online community. The term is often used humorously, as a way to express frustration or annoyance at being banned or blocked.	0	No moderation action is necessary.	0.85	success	N/A	{ "interpretation": "The term 'Help I’ve been fanum’d' is a phrase used on social media to indicate that someone has been banned or blocked from a particular platform or online community. The term is often used humorously, as a way to express frustration or annoyance at being banned or blocked.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.85 }
English or Spanish	The term 'English or Spanish' refers to the choice between using English or Spanish as a language of communication. It can be used to indicate that both languages are acceptable or expected in a given context.	0	No moderation action is necessary.	1	success	N/A	{ "interpretation": "The term 'English or Spanish' refers to the choice between using English or Spanish as a language of communication. It can be used to indicate that both languages are acceptable or expected in a given context.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 1 }
